timestamp_utc,price_eur_mwh
2019-12-31 23:00:00+00,41.88
2020-01-01 00:00:00+00,38.60
2020-01-01 01:00:00+00,36.55
2020-01-01 02:00:00+00,32.32
2020-01-01 03:00:00+00,30.85
2020-01-01 04:00:00+00,30.14
2020-01-01 05:00:00+00,30.17
2020-01-01 06:00:00+00,30.00
2020-01-01 07:00:00+00,30.65
2020-01-01 08:00:00+00,30.65
2020-01-01 09:00:00+00,30.27
2020-01-01 10:00:00+00,30.34
2020-01-01 11:00:00+00,30.99
2020-01-01 12:00:00+00,30.04
2020-01-01 13:00:00+00,30.75
2020-01-01 14:00:00+00,32.11
2020-01-01 15:00:00+00,35.98
2020-01-01 16:00:00+00,40.40
2020-01-01 17:00:00+00,44.05
2020-01-01 18:00:00+00,49.15
2020-01-01 19:00:00+00,44.58
2020-01-01 20:00:00+00,40.68
2020-01-01 21:00:00+00,41.06
2020-01-01 22:00:00+00,38.56
2020-01-01 23:00:00+00,35.40
2020-01-02 00:00:00+00,31.98
2020-01-02 01:00:00+00,30.50
2020-01-02 02:00:00+00,28.79
2020-01-02 03:00:00+00,28.42
2020-01-02 04:00:00+00,28.75
2020-01-02 05:00:00+00,34.16
2020-01-02 06:00:00+00,42.07
2020-01-02 07:00:00+00,44.89
2020-01-02 08:00:00+00,45.26
2020-01-02 09:00:00+00,45.57
2020-01-02 10:00:00+00,45.09
2020-01-02 11:00:00+00,45.16
2020-01-02 12:00:00+00,44.90
2020-01-02 13:00:00+00,44.06
2020-01-02 14:00:00+00,44.00
2020-01-02 15:00:00+00,44.38
2020-01-02 16:00:00+00,46.05
2020-01-02 17:00:00+00,46.72
2020-01-02 18:00:00+00,45.04
2020-01-02 19:00:00+00,35.97
2020-01-02 20:00:00+00,34.37
2020-01-02 21:00:00+00,32.58
2020-01-02 22:00:00+00,31.77
2020-01-02 23:00:00+00,32.05
2020-01-03 00:00:00+00,30.75
2020-01-03 01:00:00+00,29.03
2020-01-03 02:00:00+00,24.96
2020-01-03 03:00:00+00,22.56
2020-01-03 04:00:00+00,26.16
2020-01-03 05:00:00+00,31.21
2020-01-03 06:00:00+00,36.73
2020-01-03 07:00:00+00,40.70
2020-01-03 08:00:00+00,45.95
2020-01-03 09:00:00+00,47.67
2020-01-03 10:00:00+00,45.97
2020-01-03 11:00:00+00,43.56
2020-01-03 12:00:00+00,39.35
2020-01-03 13:00:00+00,39.04
2020-01-03 14:00:00+00,38.40
2020-01-03 15:00:00+00,38.91
2020-01-03 16:00:00+00,45.76
2020-01-03 17:00:00+00,47.77
2020-01-03 18:00:00+00,45.75
2020-01-03 19:00:00+00,44.66
2020-01-03 20:00:00+00,33.00
2020-01-03 21:00:00+00,38.72
2020-01-03 22:00:00+00,37.74
2020-01-03 23:00:00+00,33.12
2020-01-04 00:00:00+00,30.49
2020-01-04 01:00:00+00,30.14
2020-01-04 02:00:00+00,27.75
2020-01-04 03:00:00+00,26.32
2020-01-04 04:00:00+00,25.95
2020-01-04 05:00:00+00,25.84
2020-01-04 06:00:00+00,27.28
2020-01-04 07:00:00+00,30.00
2020-01-04 08:00:00+00,36.41
2020-01-04 09:00:00+00,39.50
2020-01-04 10:00:00+00,40.26
2020-01-04 11:00:00+00,35.00
2020-01-04 12:00:00+00,32.07
2020-01-04 13:00:00+00,36.80
2020-01-04 14:00:00+00,38.94
2020-01-04 15:00:00+00,36.85
2020-01-04 16:00:00+00,49.16
2020-01-04 17:00:00+00,51.66
2020-01-04 18:00:00+00,47.01
2020-01-04 19:00:00+00,42.85
2020-01-04 20:00:00+00,34.46
2020-01-04 21:00:00+00,39.75
2020-01-04 22:00:00+00,37.95
2020-01-04 23:00:00+00,33.10
2020-01-05 00:00:00+00,32.28
2020-01-05 01:00:00+00,31.18
2020-01-05 02:00:00+00,30.10
2020-01-05 03:00:00+00,29.96
2020-01-05 04:00:00+00,29.88
2020-01-05 05:00:00+00,30.38
2020-01-05 06:00:00+00,31.15
2020-01-05 07:00:00+00,32.09
2020-01-05 08:00:00+00,34.27
2020-01-05 09:00:00+00,37.53
2020-01-05 10:00:00+00,38.99
2020-01-05 11:00:00+00,38.15
2020-01-05 12:00:00+00,35.37
2020-01-05 13:00:00+00,34.44
2020-01-05 14:00:00+00,36.10
2020-01-05 15:00:00+00,40.59
2020-01-05 16:00:00+00,44.68
2020-01-05 17:00:00+00,46.16
2020-01-05 18:00:00+00,46.50
2020-01-05 19:00:00+00,45.33
2020-01-05 20:00:00+00,38.05
2020-01-05 21:00:00+00,38.51
2020-01-05 22:00:00+00,35.43
2020-01-05 23:00:00+00,29.16
2020-01-06 00:00:00+00,29.00
2020-01-06 01:00:00+00,29.08
2020-01-06 02:00:00+00,27.72
2020-01-06 03:00:00+00,27.03
2020-01-06 04:00:00+00,28.98
2020-01-06 05:00:00+00,33.18
2020-01-06 06:00:00+00,43.13
2020-01-06 07:00:00+00,44.52
2020-01-06 08:00:00+00,44.96
2020-01-06 09:00:00+00,44.00
2020-01-06 10:00:00+00,42.46
2020-01-06 11:00:00+00,41.30
2020-01-06 12:00:00+00,40.51
2020-01-06 13:00:00+00,41.22
2020-01-06 14:00:00+00,43.28
2020-01-06 15:00:00+00,43.68
2020-01-06 16:00:00+00,47.90
2020-01-06 17:00:00+00,48.91
2020-01-06 18:00:00+00,45.23
2020-01-06 19:00:00+00,40.00
2020-01-06 20:00:00+00,33.89
2020-01-06 21:00:00+00,33.58
2020-01-06 22:00:00+00,30.35
2020-01-06 23:00:00+00,30.00
2020-01-07 00:00:00+00,31.10
2020-01-07 01:00:00+00,29.90
2020-01-07 02:00:00+00,29.02
2020-01-07 03:00:00+00,29.65
2020-01-07 04:00:00+00,31.79
2020-01-07 05:00:00+00,40.84
2020-01-07 06:00:00+00,49.01
2020-01-07 07:00:00+00,51.09
2020-01-07 08:00:00+00,51.12
2020-01-07 09:00:00+00,49.83
2020-01-07 10:00:00+00,49.16
2020-01-07 11:00:00+00,48.43
2020-01-07 12:00:00+00,47.99
2020-01-07 13:00:00+00,47.20
2020-01-07 14:00:00+00,45.38
2020-01-07 15:00:00+00,45.90
2020-01-07 16:00:00+00,47.96
2020-01-07 17:00:00+00,48.11
2020-01-07 18:00:00+00,40.89
2020-01-07 19:00:00+00,30.36
2020-01-07 20:00:00+00,36.39
2020-01-07 21:00:00+00,31.55
2020-01-07 22:00:00+00,32.85
2020-01-07 23:00:00+00,28.90
2020-01-08 00:00:00+00,27.28
2020-01-08 01:00:00+00,24.60
2020-01-08 02:00:00+00,20.86
2020-01-08 03:00:00+00,19.36
2020-01-08 04:00:00+00,25.00
2020-01-08 05:00:00+00,33.05
2020-01-08 06:00:00+00,40.24
2020-01-08 07:00:00+00,43.43
2020-01-08 08:00:00+00,44.03
2020-01-08 09:00:00+00,45.98
2020-01-08 10:00:00+00,45.99
2020-01-08 11:00:00+00,46.10
2020-01-08 12:00:00+00,44.90
2020-01-08 13:00:00+00,46.04
2020-01-08 14:00:00+00,46.33
2020-01-08 15:00:00+00,47.90
2020-01-08 16:00:00+00,55.06
2020-01-08 17:00:00+00,55.92
2020-01-08 18:00:00+00,55.93
2020-01-08 19:00:00+00,48.10
2020-01-08 20:00:00+00,44.92
2020-01-08 21:00:00+00,41.64
2020-01-08 22:00:00+00,39.41
